<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'C', 10, 'B', 12, 'AGENT', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'C', 10, 'B', 'AGENT', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'AGENT', 'C', 10, 'B', 12, 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 'AGENT', 10, 'B', 12, 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 'AGENT', 'B', 12, 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 'B', 'AGENT', 12, 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 'B', 11, 12, 13, 14, 'AGENT']>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 'B', 11, 12, 13, 'AGENT', 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 'B', 11, 12, 'AGENT', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 'B', 11, 'AGENT', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'AGENT', 9, 'B', 11, 'C', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'AGENT', 'B', 11, 'C', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 'AGENT', 11, 'C', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 'AGENT', 'C', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'C', 13, 14, 'AGENT']>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'C', 13, 'AGENT', 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'C', 'AGENT', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 10, 11, 'AGENT', 'C', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'AGENT', 10, 11, 'C', 'B', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'AGENT', 9, 10, 11, 'C', 'B', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 10, 11, 'AGENT', 'B', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 10, 11, 'B', 'AGENT', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 10, 11, 'B', 13, 'AGENT', 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 10, 11, 'B', 13, 14, 'AGENT']>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 10, 'AGENT', 'B', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 9, 'AGENT', 11, 'B', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'C', 'AGENT', 10, 11, 'B', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'AGENT', 'C', 10, 11, 'B', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'B', 'C', 10, 11, 'AGENT', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'B', 'C', 10, 11, 12, 'AGENT', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'B', 'C', 10, 11, 12, 13, 'AGENT', 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'B', 'C', 10, 11, 12, 13, 14, 'AGENT']>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'B', 'C', 10, 'AGENT', 12, 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'B', 'C', 'AGENT', 11, 12, 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'B', 'AGENT', 'C', 11, 12, 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 'AGENT', 'B', 'C', 11, 12, 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 'C', 11, 'AGENT', 13, 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 'C', 11, 12, 'AGENT', 14, 15]>
<Node [0, 'A', 2, 3, 4, 5, 6, 7, 8, 'B', 'C', 11, 12, 13, 'AGENT', 15]>
